"%s; rev #%s","%s; rev #%s"
"Access Level","Nível de Acesso"
"Add Node...","Adicionar Nó..."
"Add Selected Page(s) to Tree","Adicionar Página(s) Selecionada(s) a Árvore"
"Add To Tree","Adicionar a Árvore"
"An error occurred while deleting revisions.","Ocorreu um erro ao deletar as revisões."
"An error occurred while deleting the revision.","Ocorreu um erro ao deletar a revisão."
"An error occurred while deleting the version.","Ocorreu um erro ao deletar a versão."
"An error occurred while deleting versions.","Ocorreu um erro ao deletar as versões."
"Anchor Custom Text","Texto de Anchor Customizado"
"Anchor Custom Title","Título de Anchor Customizado"
"Are you sure you want to break current lock?","Você tem certeza que deseja quebrar a trava atual?"
"Are you sure you want to delete this revision?","Você tem certeza que deseja deletar essa revisão?"
"Are you sure?","Tem certeza?"
"Author","Autor"
"Author:","Autor:"
"CMS","CMS"
"CMS Content Wrapper","Wrapper do Conteúdo do CMS"
"CMS Hierarchy","Hierarquia de CMS"
"CMS Hierarchy Node Link","Link do Nó de Hierarquia CMS"
"CMS Home Page","Home Page do CMS"
"CMS No-Route Page","Página No-Route do CMS"
"CMS Page Default Versioning","Versionamento Padrão de Página CMS"
"CMS Page Hierarchy","Hierarquia de Página CMS"
"CMS Page Link Block Template","Template em Bloco do Link da Página CMS"
"CMS Page Link Inline Template","Template Inline do Link da Página CMS"
"CMS Page Trees","Árvores de Página CMS"
"CMS Pages","Páginas CMS"
"CMS Pages (All)","Páginas CMS (Todas)"
"CMS Versioning","Versionamento de CMS"
"Cancel","Cancelar"
"Cannot change version access level because it is the last public version for its page.","Impossível alterar o nível de acesso de versão pois essa é a última versão pública dessa página."
"Cannot change version access level because its revision is published.","Impossível alterar o nível de acesso de versão porque a sua revisão já foi publicada."
"Chapter/Section","Sessão/Capítulo"
"Choose Revision","Escolha a Revisão"
"Choose Store View","Escolha a View da Loja"
"Circle","Círculo"
"Content","Conteúdo"
"Could not load specified revision.","Impossível carregar a revisão especificada."
"Could not load specified version.","Impossível carregar a versão especificada."
"Created","Criada"
"Created At","Criada Em"
"Created:","Criada:"
"Current Modification","Modificação Atual"
"Currently Published Revision","Revisão Publicada No Momento"
"Default","Padrão"
"Default Layout for Hierarchy Menu","Layout Padrão para o Menu Hierárquico"
"Delete","Deletar"
"Delete Revision and Version","Deletar Revisão e Versão"
"Disabled by Default","Desativado por Padrão"
"Disc","Disco"
"Edit Page '%s' New Revision","Editar Nova Revisão da Página '%s'"
"Edit Page '%s' Revision #%s","Editar Página '%s' na Revisão #%s"
"Edit Page '%s' Version '%s'","Editar Página '%s' na Versão '%s'"
"Edit Revision","Editar Revisão"
"Edit Version","Editar Versão"
"Enable Chapter/Section","Ativar Sessão/Capítulo"
"Enable Hierarchy Functionality","Ativar Funcionalidade Hierárquica"
"Enable Hierarchy Metadata","Ativar Metadata de Hierarquia"
"Enable Navigation Menu","Enable Navigation Menu"
"Enable Pagination","Enable Pagination"
"Enabled by Default","Enabled by Default"
"Error in saving hierarchy.","Error in saving hierarchy."
"Exclude from Navigation Menu","Exclude from Navigation Menu"
"First","First"
"Frame","Moldura"
"Frame Skip","Pular Moldura"
"Hierarchy","Hierarquia"
"Hierarchy Page Lock Timeout (seconds)","Timeout de Trava de Hierarquia de Página (segundos)"
"How many Links to display at once","Quantos links devem ser exibidos de uma vez"
"If empty, will use the Node or Page Name","Se deixado vazio, o Nome da Página ou do Nó será usado"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","Se a Posição Atual da Moldura não cobrir as Páginas Finais, será renderizado o Link para a Posição Atual mais/menos esse valor"
"Invalid node data.","Dados inválidos de nó."
"Label for version is a required field.","O rótulo para a versão é um campo obrigatório."
"Left Column","Coluna da Esquerda"
"Link to Specified CMS Hierarchy Node","Link para o Nó Hierárquico de CMS especificado"
"List Style","Estilo da Lista"
"List Type","Tipo da Lista"
"Lower Alpha (a, b, c, ...)","Alfabeto Minúsculo (a, b, c, ...)"
"Lower Roman (i, ii, iii, ...)","Romanas Minúsculas (i, ii, iii, ...)"
"Manage Content","Gerenciar Conteúdo"
"Manage Hierarchy","Gerenciar Hierarquia"
"Manage Pages Hierarchy","Gerenciar Hierarquia das Páginas"
"Maximal Depth","Profundidade Máxima"
"Menu Detalization","Detalhamento do Menu"
"Menu Layout","Layout do Menu"
"N/A","N/D"
"Navigation Menu Options","Opções do Menu de Navegação"
"Neighbours and Children","Vizinhos e Filhos"
"New Page","Nova Página"
"New Revision","Nova Revisão"
"New Revision...","Nova Revisão..."
"Next","Próxima"
"Next/Previous","Próxima/Anterior"
"No","Não"
"No Nodes available","Nenhum Nó disponível"
"No preview available","Nenhuma prévia disponível"
"Node","Nó"
"Node Levels to Include","Níveis de Nó a Incluir"
"Node Properties","Propriedades de Nó"
"Node with same URL Key already exists.","Um nó com a mesma chave de URL já existe."
"Numbers (1, 2, 3, ...)","Números (1, 2, 3, ...)"
"Only Children","Apenas Filhos"
"Ordered","Ordenado"
"Owner","Dono"
"Page ID","ID da Página"
"Page Properties","Propriedades da Página"
"Page lock expires in 60 seconds. Save changes to avoid possible data loss.","A trava de página expira em 60 segundos. Salve suas mudanças para evitar a perda de dados."
"Page:","Página:"
"Pages","Páginas"
"Pages Hierarchy","Hierarquia de Páginas"
"Pagination Options for Nested Pages","Opções de Paginação para Páginas Aninhadas"
"Please select revision(s).","Por favor selecione a(s) revisão(ões)."
"Please select version(s).","Por favor selecione a(s) versão(ões)."
"Preview","Prévia"
"Previous","Anterior"
"Private","Privado"
"Protected","Protegido"
"Public","Público"
"Publish","Publicar"
"Publish Revision","Publicar Revisão"
"Published","Publicado"
"Published Revision Unavailable","Revisão Publicada Indisponível"
"Remove From Tree","Remover da Árvore"
"Render Metadata in HTML Head","Renderizar a Metadata no Cabeçalho HTML"
"Revision #","Revisão #"
"Revision #%s","Revisão #%s"
"Revision #%s could not be removed because it is published.","A revisão #%s não pode ser removida porque ela já foi publicada."
"Revision Information","Informações de Revisão"
"Revisions Qty","Qtd de Revisões"
"Right Column","Coluna Direita"
"Root","Raiz"
"Save","Salvar"
"Save Pages Hierarchy","Salvar Hierarquia de Páginas"
"Save Revision and Version","Salvar Revisão e Versão"
"Save and Continue Edit","Salvar e Continuar Editando"
"Save and Publish","Salvar E Publicar"
"Save as New Version","Salvar como uma Nova Versão"
"Save in New Version...","Salvar em uma Nova Versão..."
"Select Page or Node...","Selecione a Página ou o Nó..."
"Specify New Version Name (required)","Especifique o Nome da Nova Versão (obrigatório)"
"Square","Quadrado"
"Template","Template"
"The hierarchy has been saved.","A hierarquia foi salva com sucesso."
"The new version has been created.","A nova versão foi criada com sucesso."
"The revision has been deleted.","A revisão foi deletada com sucesso."
"The revision has been published.","A revisão foi publicada com sucesso."
"The revision has been saved.","A revisão foi salva com sucesso."
"The version has been deleted.","A versão foi deletada com sucesso."
"The version has been saved.","A versão foi salva com sucesso."
"There are unsaved node data. Are you sure you want to proceed?","Existem dados de nó não salvos. Tem certeza que deseja continuar?"
"This Page Belongs To","Essa Página Pertence A"
"This Page is locked by '%s'.","Essa Página está travada por '%s'."
"This Page is locked by you.","Essa Página está travada por você."
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","Essa página não pode ser adicionada pois um nó ou uma página com a mesma chave de URL já existe nessa parte da árvore."
"This page is currently locked.","Essa página está travada no momento."
"Title","Título"
"Total of %d record(s) have been deleted","Um total de %d registro(s) foi/foram deletado(s) com sucesso"
"Total of %d record(s) have been deleted.","Um total de %d registro(s) foi/foram deletado(s) com sucesso."
"Tree Viewed","Visualizado em Árvore"
"URL Key","Chave de URL"
"Unable to find a revision to delete.","Impossível encontrar a revisão a ser deletada."
"Unable to find a version to delete.","Impossível encontrar a versão a ser deletada."
"Under Version Control","Sob Controle de Versionamento"
"Unlock This Page","Destravar Essa Página"
"Unordered","Sem Ordem"
"Update","Atualizar"
"Upper Alpha (A, B, C, ...)","Alfabeto Maiúsculo (A, B, C, ...)"
"Upper Roman (I, II, III, ...)","Romanas Maiúsculas (I, II, III, ...)"
"Use Parent","Usar Pai"
"Use default","Usar padrão"
"Version ""%s"" could not be removed because it is the last public version for its page.","A versão ""%s"" não pode ser removida porque ela é a última versão pública dessa página."
"Version ""%s"" could not be removed because its revision has been published.","A versão ""%s"" não pode ser removida porque a sua revisão já foi publicada."
"Version #","Versão #"
"Version Control","Controle de Versão"
"Version Information","Informações de Versão"
"Version Label","Rótulo de Versão"
"Version Revisions","Revisões de Versão"
"Version:","Versão:"
"Versions","Versões"
"Website Root","Raiz do Website"
"Yes","Sim"
"You should specify valid name","Você deve especificar um nome válido"
"[No Owner]","[Sem Dono]"
