"-- First Please Select a Website --","-- Por Favor Primeiro Selecione um Website --"
"Action","Ação"
"Active","Ativo"
"Add Gift Card","Adicionar Cartão de Presente"
"Add Gift Card Account","Adicionar Conta de Cartão de Presente"
"Additional information","Informações Adicionais"
"Alphabetical","Alfabético"
"Alphanumeric","Alfanumérico"
"Are you sure you want to delete these gift card accounts?","Você tem certeza que deseja deletar essas contas de cartão de presente?"
"Available","Disponível"
"Balance","Saldo"
"Balance Change","Mudança de Saldo"
"Balance cannot be less than zero.","O saldo não pode ser menor que zero."
"By admin: %s.","Pelo admin: %s."
"Cannot apply Gift Card","Impossível aplicar o Cartão de Presente"
"Cannot apply gift card.","Impossível aplicar o cartão de presente."
"Cannot redeem Gift Card.","Impossível resgatar o Cartão de Presente."
"Cannot remove Gift Card","Impossível remover o Cartão de Presente"
"Cannot remove gift card.","Impossível remover o cartão de presente."
"Check","Checar"
"Check Gift Card status and balance","Checar o status e o saldo do Cartão de Presente"
"Check status and balance","Checar o status e o saldo"
"Code","Código"
"Code Format","Formato do Código"
"Code Length","Comprimento do Código"
"Code Prefix","Prefíxo do Código"
"Code Suffix","Sufíxo do Código"
"Created","Criado"
"Current Balance: %s","Saldo Atual: %s"
"Customer #%s.","Cliente #%s."
"Customer My Account Gift Card Check Form","Formulário de Checagem do Cartão de Presente da Minha Conta de Cliente"
"Customers","Clientes"
"Dash Every X Characters","Inserir um Traço a Cada X Caracteres"
"Date","Data"
"Date Created","Data de Criação"
"Delete","Deletar"
"Do you really want to proceed? All unsaved changes will be lost.","Tem certeza que deseja continuar? Todas as mudanças não salvas serão perdidas."
"Edit Gift Card Account","Editar a Conta de Cartão de Presente"
"Edit Gift Card Account: %s","Editar a Conta de Cartão de Presente: %s"
"Email Sent from Gift Card Account Management","Email Enviado a Partir do Gerenciador de Conta de Cartão de Presente"
"Email Template","Template de Email"
"Email was not sent because the gift card account is not active.","O email não foi enviado porque a conta do cartão de presente não está ativa."
"Enter Gift Card code","Digite o código do Cartão de Presente"
"Enter gift card code","Digite o código do cartão de presente"
"Enter the gift card code","Digite o código do cartão de presente"
"Excluding prefix, suffix and separators.","Excluíndo o prefixo, o sufixo e os separadores."
"Expiration Date","Data de Vencimento"
"Expiration date cannot be in the past.","A data de vencimento não pode ser no passado."
"Expired","Vencido"
"Expires: %s","Vence Em: %s"
"Generate","Gerar"
"Gift Card","Cartão de Presente"
"Gift Card ""%s"" was added.","O Cartão de Presente ""%s"" foi adicionado."
"Gift Card ""%s"" was redeemed.","O Cartão de Presente ""%s"" foi resgatado."
"Gift Card ""%s"" was removed.","O Cartão de Presente ""%s"" foi removido."
"Gift Card (%s)","Cartão de Presente (%s)"
"Gift Card Account","Conta de Cartão de Presente"
"Gift Card Account General Settings","Configurações Gerais da Conta de Cartão de Presente"
"Gift Card Account Sent From Edit Page","Conta de Cartão de Presente Enviada a Partir da Página de Edição"
"Gift Card Account has been deleted.","A Conta de Cartão de Presente foi deletada com sucesso."
"Gift Card Accounts","Contas de Cartão de Presente"
"Gift Card Balance Check Form","Formulário de Verificação de Saldo do Cartão de Presente"
"Gift Card Code","Código do Cartão de Presente"
"Gift Card Email Sender","Remetente do Email de Cartão de Presente"
"Gift Card Template","Template do Cartão de Presente"
"Gift Card amount applied to order: %s","Valor do cartão de presente aplicado ao pedido: %s"
"Gift Card status","Status do cartão de presente"
"Gift Card: %s","Cartão de Presente: %s"
"Gift Cards","Cartões de Presente"
"Gift card account %s balance does not have funds.","O saldo da conta de cartão de presente %s não possui fundos."
"Gift card account %s balance is less than amount to be charged.","O saldo da conta de cartão de presente %s é menor do que a quantia a ser cobrada."
"Gift card account %s is expired.","A conta de cartão de presente %s está vencida."
"Gift card account %s is not enabled.","A conta de cartão de presente %s não está ativada."
"Have a gift card? <a href=""%s"">Click here</a> to redeem it.","Possui um cartão de presente? <a href=""%s"">Clique aqui</a> para resgata-lo."
"History","Histórico"
"ID","ID"
"Information","Informações"
"Invalid customer ID supplied.","ID de cliente fornecido inválido."
"Low Code Pool Threshold","Limiar de Pool de códigos baixas"
"Manage Gift Card Accounts","Gerenciar Contas de Cartão de Presente"
"Maximum generated code length is 255. Please correct your settings.","O comprimento máximo do código gerado é 255. Por favor, corriga suas configurações."
"New Account","Nova Conta"
"New Gift Card Account","Nova Conta de Cartão de Presente"
"New Pool Size","Novo Tamanho de Pool"
"New code pool was generated.","Uma nova pool de códigos foi gerada."
"No","Não"
"No codes left in the pool.","Nenhum código restante na pool."
"Numeric","Numérico"
"Order #%s.","Pedido #%s."
"Please assign gift card account.","Por favor associe uma conta de cartão de presente."
"Please select gift card account(s)","Por favor selecione a(s) conta(s) de cartão de presente"
"Please wait, loading...","Por favor aguarde, carregando..."
"Recipient Email","Destinatário do Email"
"Recipient Name","Nome do Destinatário"
"Recipient: %s.","Destinatário: %s."
"Recipient: %s. By admin: %s.","Destinatário: %s. Pelo admin: %s."
"Redeem Gift Card","Resgatar Cartão de Presente"
"Redeemable","Resgatável"
"Redeemed","Resgatado"
"Redemption functionality is disabled.","A funcionalidade de resgate está desativada."
"Refund Gift Cards to Store Credit","Reembolsar Cartões de Presente para Crédito de Loja"
"Refunded to Store Credit","Reembolsado para Crédito de Loja"
"Remove","Remover"
"Save","Salvar"
"Save & Send Email","Salvar & Enviar Email"
"Send Gift Card","Enviar Cartão de Presente"
"Sent","Enviao"
"Status","Status"
"Store Credit","Crédito de Loja"
"The gift card account has been saved and sent.","A conta de cartão de presente foi salva e enviada com sucesso."
"The gift card account has been saved, but email was not sent.","A conta de cartão de presente foi salva, mas o email não foi enviado."
"The gift card account has been saved.","A conta de cartão de presente foi salva com sucesso."
"This Gift Card Account no longer exists.","A Conta de Cartão de Presente não existe mais."
"This gift card account is already in the quote.","A conta de cartão de presente já está no quote."
"This gift card account wasn\'t found in the quote.","A conta de cartão de presente não foi encontrada no quote."
"To add or remove gift cards, <a href=""%s"">click here</a>.","Para adicionar ou remover cartões de presente, <a href=""%s"">clique aqui</a>."
"Total of %d record(s) have been deleted.","Um total de %d registro(s) foi/foram deletado(s)."
"Unable to create full code pool size. Please check settings and try again.","Impossível criar toda a pool de códigos. Por favor verifique as configurações e tente novamente."
"Unable to find a Gift Card Account to delete.","Impossível encontrar a Conta de Cartão de Presente a deletar."
"Unable to generate new code pool.","Impossível gerar o novo pool de códigos."
"Unknown history action.","Ação de histórico desconhecida."
"Updated","Atualizado"
"Used","Usado"
"WARNING: Save your configuration before running generation process.","AVISO: Salve sua configuração antes de executar o processo de geração."
"Website","Website"
"Wrong gift card account ID. Requested code: ""%s""","ID de conta de cartão de presente inválido: ""%s"""
"Wrong gift card account code: ""%s"".","Código de conta de cartão de presente inválido: ""%s""."
"Wrong gift card account website: %s.","Website de conta de cartão de presente inválido: %s."
"Wrong gift card code.","Código de cartão de presente inválido."
"Wrong or expired Gift Card Code.","Código de Cartão de Presente inválido ou vencido."
"Yes","Sim"
"if empty no separation.","se deixado vazio, não haverá separação."
