"# of Use","# de Uso"
"%1$s incl tax.","%1$s incl impostos."
"%s - %s","%s - %s"
"%s Item(s)","%s Item(s)"
"(%d)","(%d)"
"(Copy data from: %s)","(Copiar dados de: %s)"
"(Will make search for the query above return results for this search.)","(Fará com que o retorno da solicitação acima retorne os resultados dessa busca.)"
"* Required Fields","* Campos Obrigatórios"
"-- Please Select --","-- Favor Selecionar --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","O padrão 86400 será usado caso nenhum valor seja definido. Para atualizar imediatamente, Limpe o Cache HTML dos Blocos."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Aviso!</strong> Ao aplicar o MAP como padrão, o preço de todos os produtos no frontend serão ocultados automaticamente."
"A group with the same name already exists.","Um grupo de mesmo nome já existe."
"A name is required","O nome é obrigatório"
"A product type is not defined for the indexer.","Um tipo de produto não foi definido para que o indexador funcione."
"ALL GROUPS","TODOS OS GRUPOS"
"AM","AM"
"Action","Ação"
"Actual Price","Preço Atual"
"Add Attribute","Adicionar Atributo"
"Add Design Change","Adicionar Mudança de Design"
"Add Group","Adicionar Grupo"
"Add New","Adicionar Novo"
"Add New Attribute","Adicionar Novo Atributo"
"Add New Attribute Set","Adicionar Novo Conjunto de Atributos"
"Add New Group","Adicionar Novo Grupo"
"Add New Images","Adicionar Novas Imagens"
"Add New Option","Adicionar Nova Opção"
"Add New Row","Adicionar nova Linha"
"Add New Search Term","Adicionar Novo Termo de Pesquisa"
"Add New Set","Adicionar Novo Conjunto"
"Add Product","Adicionar Produto"
"Add Product To Websites","Adicionar Produto aos Websites"
"Add Root Category","Adicionar Categoria Raiz"
"Add Subcategory","Adicionar Subcategoria"
"Add Tax","Adicionar Imposto"
"Add Tier","Adicionar Faixa"
"Add to Cart","Comprar"
"Add to Compare","Adicionar a Lista de Comparação"
"Add to Wishlist","Adicionar a Lista de Desejos"
"Additional Information","Informação Adicional"
"Alert Urls","URLs de Alerta"
"All","Todos"
"All Product Types","Todos os Tipos de Produto"
"All Websites","Todos os Websites"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Todos os produtos que fazem parte deste conjunto serão deletados! Tem certeza que deseja deletar esse conjunto de atributos?"
"Allow All Products per Page","Permitir a exibição de Todos os Produtos em uma Página"
"Allow Dynamic Media URLs in Products and Categories","Permitir URLs de mídia dinâmicas em Produtos e Categorias"
"Allow HTML Tags on Frontend","Permitir Tags HTML no Frontend"
"Allowed File Extensions","Extensões Permitidas"
"Allowed file extensions to upload","Extensões de Upload Permitidas"
"An error occurred while adding products to websites.","Ocorreu um erro ao adicionar os produtos aos websites."
"An error occurred while clearing comparison list.","Ocorreu um erro ao limpar a lista de comparação."
"An error occurred while removing products from websites.","Ocorreu um erro ao remover os produtos dos websites."
"An error occurred while saving the URL rewrite","Ocorreu um erro ao salvar o rewrite de URL"
"An error occurred while saving the attribute set.","Ocorreu um erro ao salvar o conjunto de atributos."
"An error occurred while saving the product. ","Ocorreu um erro ao salvar o produto. "
"An error occurred while saving the search query.","Ocorreu um erro ao salvar a query de pesquisa."
"An error occurred while saving this group.","Ocorreu um erro ao salvar esse grupo."
"An error occurred while trying to delete the category.","Ocorreu um erro ao tentar deletar essa categoria."
"An error occurred while updating the product(s) attributes.","Ocorreu um erro ao atualizar os atributos do(s) produto(s)."
"An error occurred while updating the product(s) status.","Ocorreu um erro ao atualizar os status do(s) produto(s)."
"An invalid group ID is specified, skipping the record.","Um ID de grupo inválido foi especificado, ignorando o registro."
"An invalid option ID is specified for %s (%s), skipping the record.","Um ID de opção inválido foi especificado para o item %s (%s), ignorando o registro."
"An invalid store was specified.","Uma loja inválida foi especificada."
"Anchor Custom Text","Anchor Text Customizado"
"Anchor Custom Title","Anchor Title Customizado"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Aplicável somente a produtos e categorias do catálogo. Todos os itens de mídia serão inserados no editor como uma URL estática. Eles não serão atualizados caso a configuração da URL base seja alterada."
"Apply MAP (Default Value)","Aplicar MAP (Valor Padrão)"
"Apply To","Aplicar A"
"Approved","Aprovado"
"Are you sure you want to delete this category?","Tem certez que deseja deletar essa categoria?"
"Are you sure you would like to remove all products from your comparison?","Tem certeza que deseja remover todos os produtos da lista de comparação?"
"Are you sure you would like to remove this item from the compare products?","Tem certeza que deseja remover esse item da lista de comparação?"
"Are you sure?","Tem certeza?"
"As low as:","A partir de:"
"Assign","Atribuir"
"Assign product link","Atribuir link de produto"
"Assign product to category","Atributo um produto a uma categoria"
"Assigned Products","Produtos Atribuídos"
"Associated Products","Produtos Associados"
"Attrib. Set Name","Nome do Conjunto de Attrib."
"Attribute ""%s"" is invalid.","Atributo ""%s"" inválido."
"Attribute ""%s"" is required.","Atributo ""%s"" obrigatório."
"Attribute Information","Informação do Atributo"
"Attribute Model","Modelo do Atributo"
"Attribute Name:","Nome do Atributo:"
"Attribute Set","Conjunto do Atributo"
"Attribute group with the \"/name/\" name already exists","Já existe um grupo de Atributos com o nome \"/name/\""
"Attribute with the same code already exists","Já existe um atributo com esse código"
"Attributes","Atributos"
"Attrribute names can be specified per store.","O nome dos atributos pode ser especificado individualmente para cada loja."
"Autogenerate","Gerar Automaticamente"
"Availability:","Disponibilidade:"
"Back","Voltar"
"Backend Model","Modelo de Backend"
"Backend Table","Tabela de Backend"
"Backend Table Title","Título da Tabela de Backend"
"Backorders","Encomendas"
"Based On","Baseado em"
"Before Order Confirmation","Antes da Confirmação do Pedido"
"Best Value","Melhor Preço"
"Block after Info Column","Bloco depois da Coluna de Informações"
"Bottom Block Options Wrapper","Wrapper inferior do Bloco de Opções"
"Bottom/Left","Abaixo/Esquerda"
"Bottom/Right","Abaixo/Direita"
"Browse By","Navegar Por"
"Bundle Items","Items do Pacote"
"Buy %1$s","Compre %1$ itens"
"Buy %1$s for","Compre %1$ itens por"
"Buy %1$s for %2$s","Compre %1$ itens por %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Compre %1$ itens por %2$ cada (%3$ incl. impostos)"
"Buy %1$s for %2$s each","Compre %1$ itens por %2$ cada"
"Buy %1$s with %2$s discount each","Compre %1$ itens com %2$ de desconto em cada"
"Cache Lifetime (Seconds)","Tempo de Validade do Cache"
"Cache refresh needed.","Atualização de Cache necessária."
"Can be used only with catalog input type Dropdown","Pode ser usada somente com o tipo Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Pode ser usada somente com os tipos Dropdown, Seleção Múltipla e Preço"
"Can\'t create image.","Impossível criar a imagem."
"Cancel","Cancelar"
"Cannot create image.","Impossível criar a imagem."
"Cannot create writeable directory '%s'.","Impossivel criar o diretório '%s' com permissões de escrita."
"Cart Item Attribute","Atributo de Item do Carrinho"
"Catalog","Catálogo"
"Catalog Category (Anchor)","Categoria(Anchor)"
"Catalog Category (Non-Anchor)","Categoria (Non-Anchor)"
"Catalog Category (Without Subcategories)","Categoria (Sem Subcategorias)"
"Catalog Category Link","Link da Categoria"
"Catalog New Products List","Lista de Novos Produtos"
"Catalog Price Scope","Escopo de Preço"
"Catalog Product Compare List","Lista de Comparação de Produtos"
"Catalog Product Email to a Friend","Enviar Produto para um Amigo"
"Catalog Product Image Gallery Popup","Popup da Galeria de Imagens dos Produtos"
"Catalog Product Link","Link do Produto"
"Catalog Product View (Any)","View de Produtos (Qualquer um)"
"Catalog Product View (Configurable)","View de Produtos (Configuráveis)"
"Catalog Product View (Grouped)","View de Produtos (Agrupados)"
"Catalog Product View (Simple)","View de Produtos (Simples)"
"Catalog Product View (Virtual)","View de Produtos (Virtuais)"
"Catalog Section","Sessão de Catálogo"
"Catalog Seo Popular Search Terms","Termos de Pesquisa Populares (SEO)"
"Catalog Seo Sitemap (Category List)","Sitemap SEO (Categorias em Lista)"
"Catalog Seo Sitemap (Category Tree)","Sitemap SEO (Categorias em árvores)"
"Catalog Seo Sitemap (Common)","Sitemap SEO (Comum)"
"Catalog Seo Sitemap (Product List)","Sitemap SEO (Lista de Produtos)"
"Catalog URL Rewrites","Rewrites de URL"
"Catalog, Search","Catálogo, Busca"
"Categories","Categorias"
"Categories Sitemap","Categorias de Sitemap"
"Category","Categorias"
"Category API","API de Categorias"
"Category Data","Dados de Categorias"
"Category Flat Data","Dados Flat das Categorias"
"Category Link Block Template","Template do Bloco de Links das Categorias"
"Category Link Inline Template","Template Inline de Links das Categorias"
"Category Products","Produtos da Categoria"
"Category Top Navigation","Navegação Superior da Categoria"
"Category URL Suffix","Sufixo da URL da Categoria"
"Category attributes API","API de Atributos da Categoria"
"Category move error","Erro ao mover Categoria"
"Category move operation is not possible: parent category is equal to child category.","Operação não permitida: A categoria pai é igual a categoria filha."
"Category move operation is not possible: the current category was not found.","Operação não permitida: Categoria não encontrada."
"Category move operation is not possible: the new parent category was not found.","Operação não permitida: A nova categoria pai não foi encontrada."
"Category must be an instance of Mage_Catalog_Model_Category.","A categoria deve ser uma instância da classe Mage_Catalog_Model_Category."
"Center","Centralizado"
"Change","Alterar"
"Change or Retrieve attribute store view","Alterar ou Restaurar view de atributos da loja"
"Change status","Alterar status"
"Check items to add to the cart or","Verificar os itens a serem adicionados ao carrinho ou"
"Choose an Option...","Escolha uma Opção..."
"Clear All","Limpar Todos"
"Click for price","Clique para ver o preço"
"Close Window","Fechar Janela"
"Collapse All","Ocultar Todos"
"Comma-separated.","Separado por vírgula."
"Comparable","Comparável"
"Comparable on Front-end","Comparável no Front-end"
"Comparable on the Frontend","Comparável no Frontend"
"Compare","Comparar"
"Compare Products","Comparar Produtos"
"Conditions Combination","Combinar Condições"
"Configurable Product","Produto Configurável"
"Configurable Product Settings","Opções do Produto Configurável"
"Configure Product","Configurar Produto"
"Continue","Continuar"
"Copy From Configurable","Copiar de um Produto Configurável"
"Country/State","País/Estado"
"Create","Criar"
"Create (Upload)","Criar (via Upload)"
"Create Empty","Criar Vazio"
"Create Permanent Redirect for old URL","Criar redirecionamento permanente da URL antiga"
"Create Permanent Redirect for old URLs if Url key changed","Criar um redirecionamento permanente das URLs antigas caso a chave da URL seja alterada"
"Create Product Settings","Configurações de Criação de Produto"
"Create Simple Associated Product","Criar um Produto com Associação Simples"
"Create new category","Criar nova categoria"
"Create new product","Criar novo produto"
"Cross-sells","Vendas Cruzadas"
"Currently Shopping by:","Procurando atualmente por:"
"Custom Design","Design Customizado"
"Custom Options","Opções Customizadas"
"Customer Group","Grupo de Cliente"
"Customers Reviews","Reviews dos Clientes"
"Customers Tagged Product","Produtos Marcos com Tags por Clientes"
"Data Type for Saving in Database","Tipo de Dado a Ser Salvo no Banco de Dados"
"Date & Time Custom Options","Opções customizadas de Data & Hora"
"Date Fields Order","Ordem dos Campos da Data"
"Date Subscribed","Data de Assinatura"
"Datetime","Datetime"
"Decimal","Decimal"
"Declare attribute value saving scope","Declarar escopo do valor do atributo"
"Default ""What's This"" Text Message","Mensagem padrão de ""O que é isso"""
"Default Popup Text Message","Mensagem popup de texto padrão"
"Default Price","Preço Padrão"
"Default Price Navigation Step","Medida Padrão de Navegação por Preço"
"Default Qty","Qtd Padrão"
"Default Values","Valores Padrão"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Define o escopo da moeda base (""Configurações de Moeda"" > ""Opções de Moeda"" > ""Moeda Base"")."
"Delete","Deletar"
"Delete Attribute","Deletar Atributo"
"Delete Attribute Set","Deletar Conjunto de Atributos"
"Delete Category","Deletar Categoria"
"Delete Option","Deletar Opção"
"Delete Row","Deletar Linha"
"Delete Search","Deletar Busca"
"Delete Selected Group","Deletar Grupo Selecionado"
"Delete category","Deletar categoria"
"Delete product","Deletar produto"
"Depends on design theme","Depende de um tema"
"Design","Design"
"Details","Detalhes"
"Disabled","Desativado"
"Disallowed file type.","Tipo de arquivo não permitido."
"Display Actual Price","Mostrar Preço Real"
"Display in Suggested Terms","Exibir nos Termos de Sugestão"
"Double click on a group to rename it","Dê dois cliques sobre um grupo para renomea-lo"
"Double click on above image to view full picture","Dê dois cliques na imagem acima para vê-la em tamanho real"
"Downloadable Information","Informações para Download"
"Duplicate","Duplicar"
"Duplicate website tier price customer group and quantity.","Duplicar a quantidade e o grupo de cliente para essa faixa de preço."
"Duplicate website, country and state tax found.","Imposto Estadual, País e website a ser duplicado não encontrado."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Ex. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. O processamento de diretivas dinâmicas pode afetar o desempenho do catálogo."
"Edit","Editar"
"Edit Attribute Set '%s'","Editar o Conjunto de Atributos '%s'"
"Edit Product Attribute","Editar Atributo do Produto"
"Edit Product Attribute ""%s""","Editar o Atributo de Produto ""%s"""
"Edit Search","Editar Busca"
"Edit Search '%s'","Editar a Busca '%s'"
"Edit Set Name","Editar Nome do Conjunto"
"Email","Email"
"Email to a Friend","Enviar para um Amigo"
"Empty","Vazio"
"Enable MAP","Ativar MAP"
"Enable Qty Increments","Ativar Incrementos de Qtd"
"Enable WYSIWYG","Ativar WYSIWYG"
"Enabled","Ativado"
"Error during retrieval of option value: %s","Erro ao ler o valor da opção: %s"
"Exclude","Excluir"
"Expand All","Exibir Todos"
"Failed","Falha"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Falha ao copiar o arquivo %s. Por favor, delete todas as mídias com imagens inexistentes e tente novamente."
"Failed to move file: %s","Falha ao mover o arquivo: %s"
"Feature Products","Realçar Produto"
"Field is not complete","O campo não está completo"
"File options format is not valid.","Formato de opções de arquivo inválido"
"File upload failed","Falha ao realizar o upload do arquivo"
"Filter model name must be declared.","O nome do modelo do Filtro deve ser declarado."
"Filter must be an object. Please set correct filter.","O Filtro deve ser um tipo de objeto. Por favor corrija o seu filtro."
"Filterable (no results)","Filtrável (mesmo sem resultados)"
"Filterable (with results)","Filtrável (apenas com resultados)"
"First Name","Nome"
"Fixed","Corrigido"
"For internal use.","Para uso interno."
"Frontend","Frontend"
"Frontend Model","Modelo de Frontend"
"Frontend Properties","Propriedades do Frontend"
"Gallery","Galeria"
"General Information","Informações Gerais"
"Get special price","Ver preço especial"
"Global","Global"
"Globally Editable","Editável Globalmente"
"Go to Home Page","Ir para a Página Inicial"
"Grid","Grid"
"Grouped Product","Produto Agrupado"
"Groups","Grupos"
"Home","Home"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Se deixado vazio, será usado o nome da categoria"
"If empty, the Product Name will be used","Se deixado vazio, será usado o nome do produto"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Se você não especificar uma opção para uma view específica da loja, o valor padrão (admin) será usado."
"Image","Imagem"
"Image content is not valid base64 data.","O conteúdo da imagem não é um dado base64 válido."
"Image does not exist.","A imagem não existe."
"Image file was not found.","Arquivo de imagem não encontrado."
"Image type and information need to be specified for each store view.","O tipo da imagem e as informações devem ser especificadas para cada view da loja."
"In Cart","No Carrinho"
"In Stock","Em Estoque"
"In stock","Em estoque"
"Incl. Tax","Incl. Impostos"
"Index product and categories URL rewrites","Indexar os rewrites de URL dos produtos e categorias"
"Index product attributes for layered navigation building","Indexar os atributos de produto para construir a navegação por camadas"
"Index product prices","Indexar os preços dos produtos"
"Indexed category/products association","Associação produtos/categorias indexada"
"Info Column Options Wrapper","Wrapper da Coluna de Informações das Opções"
"Input Type","Tipo"
"Integer","Inteiro"
"Invalid Tier Prices","Faixas de Preço Inválidas"
"Invalid attribute %s","Atributo %s inválido"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","A opção especificada para o atributo %s (%s) é inválida, ignorando o registro."
"Invalid attribute set specified, skipping the record.","O grupo de atributos especificado é invalido, ignorando o registro."
"Invalid block: %s.","Bloco inválido: %s."
"Invalid category IDs.","IDs de categoria inválidos."
"Invalid category.","Categoria Inválida."
"Invalid image file type.","Tipo de arquivo de imagem inválido."
"Invalid image type.","Tipo de imagem inválido."
"Invalid option ID specified for %s (%s), skipping the record.","O ID de opção especificado para o item %s (%s) é inválido, ignorando o registro."
"Invalid product type specified, skipping the record.","O tipo de produto especificdado é inválido, ignorando o registro."
"Invalid store specified","A loja especificada é inválida"
"Invalid store specified, skipping the record.","A loja especificada é inválida, ignorando o registro."
"Invalid tier prices. The product is not associated to the requested website.","Faixas de preço inválidas. Esse produto não está associado ao website especificado."
"Inventory","Inventário"
"Is Default","é Padrão"
"Is Required","é Obrigatória"
"Items %s to %s of %s total","Itens %s até %s de um total de %s"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Os itens que você não deseja mostrar no catálogo ou nos resultados de uma busca devem ter o seu status marcado como 'Desativado' nas lojas desejadas."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Os itens que você não deseja mostrar no catálogo ou nos resultados de uma busca devem ter o seu status marcado como 'Desativado' nas lojas desejadas."
"Keep your eyes open for our special Back to School items and save A LOT!","Fique atento para a nossa promoção especial de volta as aulas e ECONOMIZE!"
"Label","Rótulo"
"Last Name","Sobrenome"
"Last Notification","Última Modificação"
"Layered Navigation","Navegação Por Camadas"
"Learn More","Leia Mais"
"Line %d, Email: %s","Linha %d, Email: %s"
"Line %d, SKU: %s","Linha %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Relacionados, Up sell, Cross sell)"
"Link product does not exist.","O produto linkado não existe."
"Link to a Specified Category","Linkar a uma Categoria Específica"
"Link to a Specified Product","Linkar a um Produto Específico"
"List","Listar"
"List Mode","Modo de Listagem"
"List of Products that are set as New","Lista de Produtos marcados como Novo"
"Manage Attribute Sets","Gerenciar Conjuntos de Atributos"
"Manage Attributes","Gerenciar Atributos"
"Manage Catalog Categories","Gerenciar Categorias do Catálogo"
"Manage Categories","Gerenciar Categorias"
"Manage Label / Options","Gerenciar Rótulos / Opções"
"Manage Options (values of your attribute)","Gerenciar Opções (valores dos seus atributos)"
"Manage Product Attributes","Gerenciar Atributos de Produto"
"Manage Product Sets","Gerenciar Conjuntos de Produto"
"Manage Products","Gerenciar Produtos"
"Manage Stock","Gerenciar Estoque"
"Manage Titles (Size, Color, etc.)","Gerenciar Títulos (Tamanho, Cor, etc.)"
"Max Characters","Máximo de Caracteres"
"Maximal Depth","Profundidade Máxima"
"Maximum Image Size","Tamanho Máximo de Imagem"
"Maximum Qty Allowed in Shopping Cart","Qtd Máxima Permitida no Carrinho"
"Maximum image height","Altura Máxima"
"Maximum image width","Largura Máxima"
"Maximum number of characters:","Número Máximo de Caracteres:"
"Media Image","Imagem de Mídia"
"Minimum Advertised Price","Minimum Advertised Price"
"Minimum Lines per Page","Mínimo de Linhas por Página"
"Minimum Qty Allowed in Shopping Cart","Qtd Mínima Permitida No Carrinho"
"Minimum Qty for Item\'s Status to be Out of Stock","Qtd Mínima para que item seja marcado como Esgotado"
"Missing SKU, skipping the record.","Faltando o SKU do item, ignorando registro."
"More Views","Mais Imagens"
"Move","Mover"
"Move category in tree","Mover categoria na árvore"
"Must be in the allowed values list.","Deve estar na lista de valores permitidos."
"N/A","N/D"
"Name","Nome"
"Name in %s","Nome em %s"
"New Product","Novo Produto"
"New Product Attribute","Novo Atributo de Produto"
"New Products","Novos Produtos"
"New Products Grid Template","Template Grid de Novos Produtos"
"New Products List Template","Template em Lista de Novos Produtos"
"New Root Category","Nova Categoria Raiz"
"New Search","Nova Busca"
"New Set Name","Novo Nome de Conjunto"
"New Subcategory","Nova Subcategoria"
"Next","Próximo"
"No","Não"
"No image","Sem imagem"
"No layout updates","Sem atualizações de layout"
"No options of this product are available.","Nenhuma opção desse produto está disponível."
"No product collections found.","Nenhuma coleção de produto encontrada."
"None","Nenhum"
"Not Visible Individually","Invisível Individualmente"
"Notify Low Stock RSS","Notificar o RSS de Estoque Baixo"
