"%d Review(s)","%d Avaliação(es)"
"%s Review(s)","%s Avaliação(es)"
"(Posted on %s)","(Postado em %s)"
"1 star","1 estrela"
"2 stars","2 estrelas"
"3 stars","3 estrelas"
"4 stars","4 estrelas"
"5 stars","5 estrelas"
"Add New Review","Adicionar Nova Avaliação"
"Add Your Review","Adicionar Sua Avaliação"
"Administrator","Administrador"
"All Reviews","Todas as Avaliações"
"All Reviews of Customer `%s`","Todas as Avaliações do Cliente `%s`"
"Allow Guests to Write Reviews","Permitir que Visitantes Escrevam Avaliações"
"Are you sure you want to do this?","Tem certeza que você deseja fazer isso?"
"Are you sure?","Você tem certeza?"
"Average Customer Rating","Avaliação Média dos Clientes"
"Average Customer Rating:","Avaliação Média dos Clientes:"
"Back","Voltar"
"Back to Main Product Info","Voltar para as Informações Principais do Produto"
"Back to My Reviews","Voltar para as Minhas Avaliações"
"Back to Product Reviews","Voltar para as Avaliações do Produto"
"Be the first to review this product","Seja o primeiro a avaliar esse produto"
"Catalog Product Review View","View de Avaliação de Produto do Catálogo"
"Catalog Product Reviews List","Lista de Avaliações de Produto do Catálogo"
"Created On","Criado Em"
"Customer","Cliente"
"Customer My Account Product Reviews","Avaliações de Produto da Minha Conta de Cliente"
"Customer My Account Review Details","Detalhes de Avaliação da Minha Conta de Cliente"
"Customer Reviews","Avaliações de Cliente"
"Customers Reviews","Avaliações de Clientes"
"Delete","Deletar"
"Delete Review","Deletar Avaliação"
"Detailed Rating","Nota Detalhada"
"Edit Review '%s'","Editar Avaliação '%s'"
"Guest","Visitante"
"How do you rate this product?","Qual a sua avaliação para esse produto?"
"ID","ID"
"Manage Ratings","Gerenciar Avaliações"
"My Product Reviews","Minhas Avaliações de Produto"
"My Recent Reviews","Minhas Avaliações Recentes"
"Name","Nome"
"Name in Store","Nome na Loja"
"New Review","Nova Avaliação"
"Nickname","Nickname"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Apenas usuários registrados podem escrever avaliações. Por favor, <a href=""%s"">faça seu login</a> ou <a href=""%s"">registre-se</a>"
"Pending Reviews","Avaliações Pendentes"
"Pending Reviews of Customer `%s`","Avaliações Pendentes do Cliente `%s`"
"Please select a product","Por favor selecione um produto"
"Please select one of each of the ratings above","Por favor selecione uma das notas abaixo"
"Posted By","Postado Por"
"Price","Preço"
"Product","Produto"
"Product Name","Nome do Produto"
"Product Rating","Nota do Produto"
"Product Rating:","Nota do Produto:"
"Product Review (submitted on %s):","Avaliação do Produto (enviada em %s):"
"Product Reviews","Avaliações do Produto"
"Product SKU","SKU do Produto"
"Products Reviews","Avaliações dos Produtos"
"Qty","Qtd"
"Rating:","Nota:"
"Review","Avaliação"
"Review (submitted on %s):","Avaliação (enviada em %s):"
"Review Details","Detalhes da Avaliação"
"Review Form Fields Before","Contéudo Exibido Antes dos Campos do Formulário de Avaliação"
"Review by <span>%s</span>","Avaliação por <span>%s</span>"
"Reviews and Ratings","Avaliações e Notas"
"SKU","SKU"
"Save Review","Salvar Avaliação"
"Status","Status"
"Submit Review","Enviar Avaliação"
"Summary Rating","Sumário da Nota"
"Summary of Review","Sumário do Review"
"Summary of Your Review","Sumário do Seu Review"
"Title","Título"
"Type","Tipo"
"Unable to post the review.","Impossível postar a sua avaliação."
"Update Status","Atualizar Status"
"View All Reviews","Ver Todas as Avaliações"
"View Details","Ver Detalhes"
"Visible In","Visivel Em"
"Websites","Websites"
"Write Your Own Review","Escreva Sua Própria Avaliação"
"You have submitted no reviews.","Você ainda não enviou nenhuma avaliação."
"You're reviewing:","Você está avaliando:"
"Your Rating:","Sua Nota:"
"Your Review (submitted on %s):","Sua Avaliação (enviada em %s):"
"Your review has been accepted for moderation.","A sua avaliação foi enviada para moderação com sucesso."
"Quality","Qualidade"